Date,Close,Date,Close,Date,Close
12/1/2003 23:58:00,6.107,12/1/2003 23:58:00,7.3045827,12/1/2003 23:58:00,10.4942688
12/2/2003 23:58:00,6.0749,12/2/2003 23:58:00,7.34090916,12/2/2003 23:58:00,10.50532457
12/3/2003 23:58:00,6.1057,12/3/2003 23:58:00,7.39888726,12/3/2003 23:58:00,10.54515447
12/4/2003 23:58:00,6.1161,12/4/2003 23:58:00,7.38457914,12/4/2003 23:58:00,10.519692
12/5/2003 23:58:00,6.1088,12/5/2003 23:58:00,7.44174016,12/5/2003 23:58:00,10.5804416
12/8/2003 23:58:00,6.1221,12/8/2003 23:58:00,7.47875736,12/8/2003 23:58:00,10.61021151
12/9/2003 23:58:00,6.109,12/9/2003 23:58:00,7.4804705,12/9/2003 23:58:00,10.660205
12/10/2003 23:58:00,6.1394,12/10/2003 23:58:00,7.48270072,12/10/2003 23:58:00,10.67764448
12/11/2003 23:58:00,6.0898,12/11/2003 23:58:00,7.4417356,12/11/2003 23:58:00,10.63035488
12/12/2003 23:58:00,6.1209,12/12/2003 23:58:00,7.51401684,12/12/2003 23:58:00,10.68892767
12/15/2003 23:58:00,6.0973,12/15/2003 23:58:00,7.5057763,12/15/2003 23:58:00,10.64710526
12/16/2003 23:58:00,6.1417,12/16/2003 23:58:00,7.56780274,12/16/2003 23:58:00,10.77131346
12/17/2003 23:58:00,6.1221,12/17/2003 23:58:00,7.59017958,12/17/2003 23:58:00,10.80428208
12/18/2003 23:58:00,6.0957,12/18/2003 23:58:00,7.57024983,12/18/2003 23:58:00,10.79304642
12/19/2003 23:58:00,6.1178,12/19/2003 23:58:00,7.57322462,12/19/2003 23:58:00,10.79302276
12/22/2003 23:58:00,6.1302,12/22/2003 23:58:00,7.5983829,12/22/2003 23:58:00,10.80876864
12/23/2003 23:58:00,6.122,12/23/2003 23:58:00,7.5894434,12/23/2003 23:58:00,10.7967592
12/24/2003 23:58:00,6.094,12/24/2003 23:58:00,7.5864206,12/24/2003 23:58:00,10.8131936
12/25/2003 23:58:00,6.0991,12/25/2003 23:58:00,7.59032995,12/25/2003 23:58:00,10.82102322
12/26/2003 23:58:00,6.1075,12/26/2003 23:58:00,7.585515,12/26/2003 23:58:00,10.8163825
12/29/2003 23:58:00,6.1361,12/29/2003 23:58:00,7.65846641,12/29/2003 23:58:00,10.88298696
12/30/2003 23:58:00,6.1059,12/30/2003 23:58:00,7.66107273,12/30/2003 23:58:00,10.85323725
12/31/2003 23:58:00,5.9619,12/31/2003 23:58:00,7.50364734,12/31/2003 23:58:00,10.66106958
1/1/2004 23:58:00,5.9738,1/1/2004 23:58:00,7.51265088,1/1/2004 23:58:00,10.66144086
1/2/2004 23:58:00,6.1391,1/2/2004 23:58:00,7.72851299,1/2/2004 23:58:00,11.00679239
1/5/2004 23:58:00,6.1143,1/5/2004 23:58:00,7.75537812,1/5/2004 23:58:00,11.04548295
1/6/2004 23:58:00,6.1518,1/6/2004 23:58:00,7.82262888,1/6/2004 23:58:00,11.19812154
1/7/2004 23:58:00,6.1365,1/7/2004 23:58:00,7.75469505,1/7/2004 23:58:00,11.1524751
1/8/2004 23:58:00,6.1428,1/8/2004 23:58:00,7.8443556,1/8/2004 23:58:00,11.2628238
1/9/2004 23:58:00,6.1424,1/9/2004 23:58:00,7.8714856,1/9/2004 23:58:00,11.3450128
1/12/2004 23:58:00,6.1549,1/12/2004 23:58:00,7.83888064,1/12/2004 23:58:00,11.35702148
1/13/2004 23:58:00,6.095,1/13/2004 23:58:00,7.791848,1/13/2004 23:58:00,11.2653885
1/14/2004 23:58:00,6.1559,1/14/2004 23:58:00,7.78844468,1/14/2004 23:58:00,11.28068675
1/15/2004 23:58:00,6.1399,1/15/2004 23:58:00,7.73381804,1/15/2004 23:58:00,11.20286154
1/16/2004 23:58:00,6.1412,1/16/2004 23:58:00,7.61017504,1/16/2004 23:58:00,11.0418776
1/19/2004 23:58:00,6.1175,1/19/2004 23:58:00,7.5551125,1/19/2004 23:58:00,10.9050555
1/20/2004 23:58:00,6.1137,1/20/2004 23:58:00,7.69225734,1/20/2004 23:58:00,11.11592934
1/21/2004 23:58:00,6.1038,1/21/2004 23:58:00,7.72374852,1/21/2004 23:58:00,11.18338236
1/22/2004 23:58:00,6.1198,1/22/2004 23:58:00,7.78499758,1/22/2004 23:58:00,11.28001536
1/23/2004 23:58:00,6.1336,1/23/2004 23:58:00,7.71545544,1/23/2004 23:58:00,11.20486048
1/26/2004 23:58:00,6.1664,1/26/2004 23:58:00,7.69813376,1/26/2004 23:58:00,11.19016608
1/27/2004 23:58:00,6.1414,1/27/2004 23:58:00,7.75843062,1/27/2004 23:58:00,11.21542468
1/28/2004 23:58:00,6.2033,1/28/2004 23:58:00,7.71442388,1/28/2004 23:58:00,11.25588785
1/29/2004 23:58:00,6.1136,1/29/2004 23:58:00,7.58453216,1/29/2004 23:58:00,11.10290896
1/30/2004 23:58:00,6.1172,1/30/2004 23:58:00,7.62876012,1/30/2004 23:58:00,11.16021968
2/2/2004 23:58:00,6.1249,2/2/2004 23:58:00,7.61263821,2/2/2004 23:58:00,11.15405539
2/3/2004 23:58:00,6.1249,2/3/2004 23:58:00,7.68246207,2/3/2004 23:58:00,11.25266628
2/4/2004 23:58:00,6.1331,2/4/2004 23:58:00,7.68784085,2/4/2004 23:58:00,11.23399927
2/5/2004 23:58:00,6.1502,2/5/2004 23:58:00,7.72834132,2/5/2004 23:58:00,11.29053716
2/6/2004 23:58:00,6.1317,2/6/2004 23:58:00,7.79032485,2/6/2004 23:58:00,11.32218405
2/9/2004 23:58:00,6.1325,2/9/2004 23:58:00,7.78152925,2/9/2004 23:58:00,11.40215725
2/10/2004 23:58:00,6.1628,2/10/2004 23:58:00,7.81381412,2/10/2004 23:58:00,11.50409876
2/11/2004 23:58:00,6.1413,2/11/2004 23:58:00,7.87744551,2/11/2004 23:58:00,11.61995373
2/12/2004 23:58:00,6.1262,2/12/2004 23:58:00,7.8507253,2/12/2004 23:58:00,11.59322088
2/13/2004 23:58:00,6.1415,2/13/2004 23:58:00,7.81383045,2/13/2004 23:58:00,11.5742709
2/16/2004 23:58:00,6.1461,2/16/2004 23:58:00,7.8424236,2/16/2004 23:58:00,11.60568063
2/17/2004 23:58:00,6.1205,2/17/2004 23:58:00,7.8685148,2/17/2004 23:58:00,11.66016455
2/18/2004 23:58:00,6.178,2/18/2004 23:58:00,7.8621228,2/18/2004 23:58:00,11.6893938
2/19/2004 23:58:00,6.1105,2/19/2004 23:58:00,7.76094605,2/19/2004 23:58:00,11.6026174
2/20/2004 23:58:00,6.1515,2/20/2004 23:58:00,7.7127507,2/20/2004 23:58:00,11.45101725
2/23/2004 23:58:00,6.1578,2/23/2004 23:58:00,7.7403546,2/23/2004 23:58:00,11.50153884
2/24/2004 23:58:00,6.1444,2/24/2004 23:58:00,7.78679812,2/24/2004 23:58:00,11.6098438
2/25/2004 23:58:00,6.1518,2/25/2004 23:58:00,7.68975,2/25/2004 23:58:00,11.51678478
2/26/2004 23:58:00,6.15,2/26/2004 23:58:00,7.652445,2/26/2004 23:58:00,11.45622
2/27/2004 23:58:00,6.1276,2/27/2004 23:58:00,7.65275964,2/27/2004 23:58:00,11.44574404
3/1/2004 23:58:00,6.1455,3/1/2004 23:58:00,7.66774035,3/1/2004 23:58:00,11.4773358
3/2/2004 23:58:00,6.1595,3/2/2004 23:58:00,7.5133581,3/2/2004 23:58:00,11.3199291
3/3/2004 23:58:00,6.1031,3/3/2004 23:58:00,7.43723766,3/3/2004 23:58:00,11.15219463
3/4/2004 23:58:00,6.1433,3/4/2004 23:58:00,7.49544033,3/4/2004 23:58:00,11.19677858
3/5/2004 23:58:00,6.1529,3/5/2004 23:58:00,7.60683027,3/5/2004 23:58:00,11.35517695
3/8/2004 23:58:00,6.1238,3/8/2004 23:58:00,7.6057596,3/8/2004 23:58:00,11.34250236
3/9/2004 23:58:00,6.2028,3/9/2004 23:58:00,7.63812792,3/9/2004 23:58:00,11.3232114
3/10/2004 23:58:00,6.1467,3/10/2004 23:58:00,7.5174141,3/10/2004 23:58:00,11.08065609
3/11/2004 23:58:00,6.1082,3/11/2004 23:58:00,7.54179454,3/11/2004 23:58:00,11.05400954
3/12/2004 23:58:00,6.1345,3/12/2004 23:58:00,7.49574555,3/12/2004 23:58:00,11.06357075
3/15/2004 23:58:00,6.1372,3/15/2004 23:58:00,7.52788952,3/15/2004 23:58:00,11.0715088
3/16/2004 23:58:00,6.1425,3/16/2004 23:58:00,7.5294765,3/16/2004 23:58:00,11.135124
3/17/2004 23:58:00,6.136,3/17/2004 23:58:00,7.5000328,3/17/2004 23:58:00,11.1448168
3/18/2004 23:58:00,6.1521,3/18/2004 23:58:00,7.61814543,3/18/2004 23:58:00,11.28848829
3/19/2004 23:58:00,6.1607,3/19/2004 23:58:00,7.56595567,3/19/2004 23:58:00,11.2987238
3/22/2004 23:58:00,6.1628,3/22/2004 23:58:00,7.60612776,3/22/2004 23:58:00,11.38454044
3/23/2004 23:58:00,6.1376,3/23/2004 23:58:00,7.57502592,3/23/2004 23:58:00,11.36499392
3/24/2004 23:58:00,6.2044,3/24/2004 23:58:00,7.5290394,3/24/2004 23:58:00,11.32365044
3/25/2004 23:58:00,6.1919,3/25/2004 23:58:00,7.5107747,3/25/2004 23:58:00,11.19124006
3/26/2004 23:58:00,6.1481,3/26/2004 23:58:00,7.44842315,3/26/2004 23:58:00,11.17171251
3/29/2004 23:58:00,6.143,3/29/2004 23:58:00,7.469888,3/29/2004 23:58:00,11.1710455
3/30/2004 23:58:00,6.1511,3/30/2004 23:58:00,7.49142469,3/30/2004 23:58:00,11.2380597
3/31/2004 23:58:00,6.1403,3/31/2004 23:58:00,7.55748124,3/31/2004 23:58:00,11.31780096
4/1/2004 23:58:00,6.1298,4/1/2004 23:58:00,7.57827174,4/1/2004 23:58:00,11.3769088
4/2/2004 23:58:00,6.1521,4/2/2004 23:58:00,7.45696041,4/2/2004 23:58:00,11.24357796
4/5/2004 23:58:00,6.1191,4/5/2004 23:58:00,7.3490391,4/5/2004 23:58:00,11.15817885
4/6/2004 23:58:00,6.1412,4/6/2004 23:58:00,7.44743324,4/6/2004 23:58:00,11.3182316
4/7/2004 23:58:00,6.1283,4/7/2004 23:58:00,7.45385129,4/7/2004 23:58:00,11.27423351
4/8/2004 23:58:00,6.1317,4/8/2004 23:58:00,7.4009619,4/8/2004 23:58:00,11.22469002
4/9/2004 23:58:00,6.1282,4/9/2004 23:58:00,7.41328354,4/9/2004 23:58:00,11.2360547
4/12/2004 23:58:00,6.1353,4/12/2004 23:58:00,7.40346651,4/12/2004 23:58:00,11.27238669
4/13/2004 23:58:00,6.1368,4/13/2004 23:58:00,7.32242976,4/13/2004 23:58:00,11.15424768
4/14/2004 23:58:00,6.1663,4/14/2004 23:58:00,7.36317883,4/14/2004 23:58:00,11.0315107
4/15/2004 23:58:00,6.1277,4/15/2004 23:58:00,7.34221014,4/15/2004 23:58:00,10.97409793
4/16/2004 23:58:00,6.1783,4/16/2004 23:58:00,7.4016034,4/16/2004 23:58:00,11.09499114
4/19/2004 23:58:00,6.1736,4/19/2004 23:58:00,7.4114068,4/19/2004 23:58:00,11.15322576
4/20/2004 23:58:00,6.1964,4/20/2004 23:58:00,7.3365376,4/20/2004 23:58:00,11.0574758
4/21/2004 23:58:00,6.1771,4/21/2004 23:58:00,7.29021342,4/21/2004 23:58:00,10.92976074
4/22/2004 23:58:00,6.1006,4/22/2004 23:58:00,7.27252526,4/22/2004 23:58:00,10.828565
4/23/2004 23:58:00,6.1121,4/23/2004 23:58:00,7.23794882,4/23/2004 23:58:00,10.83430846
4/26/2004 23:58:00,6.1428,4/26/2004 23:58:00,7.28413224,4/26/2004 23:58:00,10.96858368
4/27/2004 23:58:00,6.1433,4/27/2004 23:58:00,7.32527092,4/27/2004 23:58:00,11.00817927
4/28/2004 23:58:00,6.1382,4/28/2004 23:58:00,7.26701498,4/28/2004 23:58:00,10.8676831
4/29/2004 23:58:00,6.1527,4/29/2004 23:58:00,7.35555285,4/29/2004 23:58:00,10.90812183
4/30/2004 23:58:00,6.157,4/30/2004 23:58:00,7.376086,4/30/2004 23:58:00,10.947146
5/3/2004 23:58:00,6.1558,5/3/2004 23:58:00,7.34448498,5/3/2004 23:58:00,10.9019218
5/4/2004 23:58:00,6.1455,5/4/2004 23:58:00,7.43421135,5/4/2004 23:58:00,11.0324016
5/5/2004 23:58:00,6.1299,5/5/2004 23:58:00,7.45150644,5/5/2004 23:58:00,10.97926389
5/6/2004 23:58:00,6.1347,5/6/2004 23:58:00,7.40642331,5/6/2004 23:58:00,11.00749221
5/7/2004 23:58:00,6.1351,5/7/2004 23:58:00,7.28543125,5/7/2004 23:58:00,10.97385337
5/10/2004 23:58:00,6.1449,5/10/2004 23:58:00,7.27740507,5/10/2004 23:58:00,10.91825832
5/11/2004 23:58:00,6.0998,5/11/2004 23:58:00,7.2435125,5/11/2004 23:58:00,10.73625798
5/12/2004 23:58:00,6.1432,5/12/2004 23:58:00,7.3134796,5/12/2004 23:58:00,10.88759336
5/13/2004 23:58:00,6.134,5/13/2004 23:58:00,7.23812,5/13/2004 23:58:00,10.7939998
5/14/2004 23:58:00,6.1232,5/14/2004 23:58:00,7.27926016,5/14/2004 23:58:00,10.7645856
5/17/2004 23:58:00,6.1417,5/17/2004 23:58:00,7.3823234,5/17/2004 23:58:00,10.87633653
5/18/2004 23:58:00,6.1481,5/18/2004 23:58:00,7.34206102,5/18/2004 23:58:00,10.85692979
5/19/2004 23:58:00,6.1517,5/19/2004 23:58:00,7.38204,5/19/2004 23:58:00,10.96109906
5/20/2004 23:58:00,6.1749,5/20/2004 23:58:00,7.38147546,5/20/2004 23:58:00,10.96168248
5/21/2004 23:58:00,6.1647,5/21/2004 23:58:00,7.4099694,5/21/2004 23:58:00,11.0224836
5/24/2004 23:58:00,6.1379,5/24/2004 23:58:00,7.3593421,5/24/2004 23:58:00,10.9929789
